Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,14,9,0.1875,14->13->9,0.254902,1,Adjacency List
DFS Recursive,0,9,14,0.4375,9->5->1->2->6->10->14,0.254902,1,Adjacency List
DFS Recursive,0,14,9,0.4375,14->10->6->2->1->5->9,0.22549,1,Matrix
DFS Recursive,0,9,14,0.9375,9->5->1->2->3->4->8->7->6->10->11->12->16->15->14,0.205882,1,Matrix
DFS Recursive,0,1,5,0.25,1->2->6->5,0.235294,1,Adjacency List
DFS Recursive,0,5,1,0.125,5->1,0.22549,1,Adjacency List
DFS Recursive,0,1,5,0.5,1->2->3->4->8->7->6->5,0.196078,1,Matrix
DFS Recursive,0,5,1,0.125,5->1,0.205882,1,Matrix
DFS Recursive,0,2,9,0.375,2->1->5->6->10->9,0.235294,1,Adjacency List
DFS Recursive,0,9,2,0.25,9->5->1->2,0.245098,1,Adjacency List
DFS Recursive,0,2,9,0.75,2->1->5->6->7->3->4->8->12->11->10->9,0.196078,1,Matrix
DFS Recursive,0,9,2,0.25,9->5->1->2,0.205882,1,Matrix
DFS Recursive,0,14,8,0.8125,14->13->9->5->1->2->6->10->11->7->3->4->8,0.245098,1,Adjacency List
DFS Recursive,0,8,14,0.6875,8->4->3->2->1->5->6->10->9->13->14,0.215686,1,Adjacency List
DFS Recursive,0,14,8,0.6875,14->10->6->2->1->5->9->13->3->4->8,0.245098,1,Matrix
DFS Recursive,0,8,14,0.8125,8->4->3->2->1->5->6->7->11->10->9->13->14,0.196078,1,Matrix
DFS Recursive,0,12,8,0.125,12->8,0.205882,1,Adjacency List
DFS Recursive,0,8,12,0.9375,8->4->3->2->1->5->6->10->9->13->14->15->11->7->12,0.205882,1,Adjacency List
DFS Recursive,0,12,8,0.125,12->8,0.205882,1,Matrix
DFS Recursive,0.97179,8,12,1,8->4->3->2->1->5->6->7->11->10->9->13->14->15->16->12,0.196078,1,Matrix
DFS Recursive,0,9,11,0.625,9->5->1->2->6->10->14->13->15->11,0.245098,1,Adjacency List
DFS Recursive,0,11,9,0.5625,11->7->3->2->1->5->6->10->9,0.22549,1,Adjacency List
DFS Recursive,0,9,11,0.6875,9->5->1->2->3->4->8->7->6->10->11,0.205882,1,Matrix
DFS Recursive,0,11,9,0.5625,11->7->3->2->1->5->6->10->9,0.22549,1,Matrix
DFS Recursive,0,9,15,0.5625,9->5->1->2->6->10->14->13->15,0.245098,1,Adjacency List
DFS Recursive,0,15,9,0.25,15->14->13->9,0.245098,1,Adjacency List
DFS Recursive,0,9,15,0.875,9->5->1->2->3->4->8->7->6->10->11->12->16->15,0.205882,1,Matrix
DFS Recursive,0,15,9,0.625,15->11->7->3->2->1->5->6->10->9,0.235294,1,Matrix
DFS Recursive,0,11,16,0.8125,11->7->3->2->1->5->6->10->9->13->14->15->16,0.215686,1,Adjacency List
DFS Recursive,0,16,11,0.6875,16->15->14->13->9->5->1->2->6->10->11,0.22549,1,Adjacency List
DFS Recursive,0,11,16,0.8125,11->7->3->2->1->5->6->10->9->13->14->15->16,0.215686,1,Matrix
DFS Recursive,0,16,11,0.6875,16->12->8->4->3->2->1->5->6->7->11,0.215686,1,Matrix
DFS Recursive,0,5,9,0.375,5->1->2->6->10->9,0.245098,1,Adjacency List
DFS Recursive,0,9,5,0.125,9->5,0.235294,1,Adjacency List
DFS Recursive,0,5,9,0.625,5->1->2->3->4->8->7->6->10->9,0.186275,1,Matrix
DFS Recursive,0,9,5,0.125,9->5,0.205882,1,Matrix
DFS Recursive,0,16,7,0.75,16->15->14->13->9->5->1->2->6->10->11->7,0.22549,1,Adjacency List
DFS Recursive,0,7,16,1,7->3->2->1->5->6->10->9->13->14->15->11->12->8->4->16,0.22549,1,Adjacency List
DFS Recursive,0,16,7,0.625,16->12->8->4->3->2->1->5->6->7,0.215686,1,Matrix
DFS Recursive,0,7,16,1,7->3->2->1->5->6->10->9->13->14->15->11->12->8->4->16,0.22549,1,Matrix
DFS Recursive,0,15,13,0.1875,15->14->13,0.245098,1,Adjacency List
DFS Recursive,0,13,15,0.5625,13->9->5->1->2->6->10->14->15,0.254902,1,Adjacency List
DFS Recursive,0,15,13,0.6875,15->11->7->3->2->1->5->6->10->9->13,0.245098,1,Matrix
DFS Recursive,0,13,15,0.9375,13->9->5->1->2->3->4->8->7->6->10->11->12->16->15,0.215686,1,Matrix
DFS Recursive,0,5,5,0.0625,5,0,0.0625,Adjacency List
DFS Recursive,0,5,5,0.0625,5,0,0.0625,Adjacency List
DFS Recursive,0,5,5,0.0625,5,0,0.0625,Matrix
DFS Recursive,0,5,5,0.0625,5,0,0.0625,Matrix
DFS Recursive,0,10,13,0.4375,10->6->2->1->5->9->13,0.254902,1,Adjacency List
DFS Recursive,0,13,10,0.4375,13->9->5->1->2->6->10,0.235294,1,Adjacency List
DFS Recursive,0,10,13,0.4375,10->6->2->1->5->9->13,0.22549,1,Matrix
DFS Recursive,0,13,10,0.6875,13->9->5->1->2->3->4->8->7->6->10,0.215686,1,Matrix
DFS Recursive,0,2,5,0.1875,2->1->5,0.245098,1,Adjacency List
DFS Recursive,0,5,2,0.1875,5->1->2,0.235294,1,Adjacency List
DFS Recursive,0,2,5,0.1875,2->1->5,0.205882,1,Matrix
DFS Recursive,0,5,2,0.1875,5->1->2,0.196078,1,Matrix
DFS Recursive,0,5,14,0.5,5->1->2->6->10->9->13->14,0.235294,1,Adjacency List
DFS Recursive,0,14,5,0.25,14->13->9->5,0.245098,1,Adjacency List
DFS Recursive,0,5,14,0.75,5->1->2->3->4->8->7->6->10->9->13->14,0.196078,1,Matrix
DFS Recursive,0,14,5,0.375,14->10->6->2->1->5,0.22549,1,Matrix
DFS Recursive,0,10,13,0.4375,10->6->2->1->5->9->13,0.254902,1,Adjacency List
DFS Recursive,0,13,10,0.4375,13->9->5->1->2->6->10,0.235294,1,Adjacency List
DFS Recursive,0,10,13,0.4375,10->6->2->1->5->9->13,0.22549,1,Matrix
DFS Recursive,0,13,10,0.6875,13->9->5->1->2->3->4->8->7->6->10,0.215686,1,Matrix
DFS Recursive,0,13,9,0.125,13->9,0.254902,1,Adjacency List
DFS Recursive,0,9,13,0.5,9->5->1->2->6->10->14->13,0.254902,1,Adjacency List
DFS Recursive,0,13,9,0.125,13->9,0.22549,1,Matrix
DFS Recursive,0,9,13,1,9->5->1->2->3->4->8->7->6->10->11->12->16->15->14->13,0.196078,1,Matrix
DFS Recursive,0,1,2,0.125,1->2,0.235294,1,Adjacency List
DFS Recursive,0,2,1,0.125,2->1,0.235294,1,Adjacency List
DFS Recursive,0,1,2,0.125,1->2,0.196078,1,Matrix
DFS Recursive,0,2,1,0.125,2->1,0.176471,1,Matrix
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Adjacency List
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Adjacency List
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Matrix
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Matrix
DFS Recursive,0,14,14,0.0625,14,0,0.0625,Adjacency List
DFS Recursive,0,14,14,0.0625,14,0,0.0625,Adjacency List
DFS Recursive,0,14,14,0.0625,14,0,0.0625,Matrix
DFS Recursive,0,14,14,0.0625,14,0,0.0625,Matrix
DFS Recursive,0,6,6,0.0625,6,0,0.0625,Adjacency List
DFS Recursive,0,6,6,0.0625,6,0,0.0625,Adjacency List
DFS Recursive,0,6,6,0.0625,6,0,0.0625,Matrix
DFS Recursive,0,6,6,0.0625,6,0,0.0625,Matrix
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Adjacency List
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Adjacency List
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Matrix
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Matrix
DFS Recursive,0,12,9,0.625,12->8->4->3->2->1->5->6->10->9,0.215686,1,Adjacency List
DFS Recursive,0,9,12,0.9375,9->5->1->2->6->10->14->13->15->11->7->3->4->8->12,0.245098,1,Adjacency List
DFS Recursive,0,12,9,0.75,12->8->4->3->2->1->5->6->7->11->10->9,0.196078,1,Matrix
DFS Recursive,0,9,12,0.75,9->5->1->2->3->4->8->7->6->10->11->12,0.196078,1,Matrix
DFS Recursive,0,6,5,0.25,6->2->1->5,0.22549,1,Adjacency List
DFS Recursive,0,5,6,0.25,5->1->2->6,0.22549,1,Adjacency List
DFS Recursive,0,6,5,0.25,6->2->1->5,0.205882,1,Matrix
DFS Recursive,0,5,6,0.5,5->1->2->3->4->8->7->6,0.196078,1,Matrix
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Adjacency List
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Adjacency List
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Matrix
DFS Recursive,0,1,1,0.0625,1,0,0.0625,Matrix
DFS Recursive,0,10,7,0.6875,10->6->2->1->5->9->13->14->15->11->7,0.245098,1,Adjacency List
DFS Recursive,0,7,10,0.4375,7->3->2->1->5->6->10,0.235294,1,Adjacency List
DFS Recursive,0,10,7,0.6875,10->6->2->1->5->9->13->14->15->11->7,0.245098,1,Matrix
DFS Recursive,0,7,10,0.4375,7->3->2->1->5->6->10,0.235294,1,Matrix
DFS Recursive,0,5,13,0.4375,5->1->2->6->10->9->13,0.254902,1,Adjacency List
DFS Recursive,0,13,5,0.1875,13->9->5,0.245098,1,Adjacency List
DFS Recursive,0,5,13,0.6875,5->1->2->3->4->8->7->6->10->9->13,0.196078,1,Matrix
DFS Recursive,0,13,5,0.1875,13->9->5,0.215686,1,Matrix
DFS Recursive,0,13,3,0.75,13->9->5->1->2->6->10->14->15->11->7->3,0.264706,1,Adjacency List
DFS Recursive,0,3,13,0.5,3->2->1->5->6->10->9->13,0.235294,1,Adjacency List
DFS Recursive,0,13,3,0.375,13->9->5->1->2->3,0.215686,1,Matrix
DFS Recursive,0,3,13,0.8125,3->2->1->5->6->7->8->4->12->11->10->9->13,0.196078,1,Matrix
DFS Recursive,0,14,11,0.5625,14->13->9->5->1->2->6->10->11,0.235294,1,Adjacency List
DFS Recursive,0,11,14,0.6875,11->7->3->2->1->5->6->10->9->13->14,0.22549,1,Adjacency List
DFS Recursive,0,14,11,0.8125,14->10->6->2->1->5->9->13->3->4->8->7->11,0.245098,1,Matrix
