Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,5,10,5,5->1->2->6->10,23,16,Adjacency List
DFS Recursive,0,10,5,5,10->6->2->1->5,25,16,Adjacency List
DFS Recursive,0,5,10,9,5->1->2->3->4->8->7->6->10,21,16,Matrix
DFS Recursive,0,10,5,5,10->6->2->1->5,22,16,Matrix
DFS Recursive,0,13,16,16,13->9->5->1->2->6->10->14->15->11->7->3->4->8->12->16,27,16,Adjacency List
DFS Recursive,0,16,13,4,16->15->14->13,24,16,Adjacency List
DFS Recursive,1000,13,16,14,13->9->5->1->2->3->4->8->7->6->10->11->12->16,22,16,Matrix
DFS Recursive,0,16,13,14,16->12->8->4->3->2->1->5->6->7->11->10->9->13,22,16,Matrix
DFS Recursive,0,4,5,5,4->3->2->1->5,23,16,Adjacency List
DFS Recursive,0,5,4,13,5->1->2->6->10->9->13->14->15->11->7->3->4,24,16,Adjacency List
DFS Recursive,0,4,5,5,4->3->2->1->5,19,16,Matrix
DFS Recursive,0,5,4,5,5->1->2->3->4,22,16,Matrix
DFS Recursive,0,11,12,14,11->7->3->2->1->5->6->10->9->13->14->15->16->12,22,16,Adjacency List
DFS Recursive,0,12,11,14,12->8->4->3->2->1->5->6->10->9->13->14->15->11,21,16,Adjacency List
DFS Recursive,0,11,12,14,11->7->3->2->1->5->6->10->9->13->14->15->16->12,22,16,Matrix
DFS Recursive,0,12,11,10,12->8->4->3->2->1->5->6->7->11,21,16,Matrix
DFS Recursive,0,10,14,8,10->6->2->1->5->9->13->14,26,16,Adjacency List
DFS Recursive,0,14,10,8,14->13->9->5->1->2->6->10,24,16,Adjacency List
DFS Recursive,0,10,14,8,10->6->2->1->5->9->13->14,23,16,Matrix
DFS Recursive,0,14,10,2,14->10,22,16,Matrix
DFS Recursive,0,14,7,10,14->13->9->5->1->2->6->10->11->7,25,16,Adjacency List
DFS Recursive,0,7,14,10,7->3->2->1->5->6->10->9->13->14,23,16,Adjacency List
DFS Recursive,0,14,7,12,14->10->6->2->1->5->9->13->3->4->8->7,24,16,Matrix
DFS Recursive,0,7,14,10,7->3->2->1->5->6->10->9->13->14,22,16,Matrix
DFS Recursive,0,16,12,16,16->15->14->13->9->5->1->2->6->10->11->7->3->4->8->12,24,16,Adjacency List
DFS Recursive,0,12,16,16,12->8->4->3->2->1->5->6->10->9->13->14->15->11->7->16,22,16,Adjacency List
DFS Recursive,0,16,12,2,16->12,23,16,Matrix
DFS Recursive,0,12,16,16,12->8->4->3->2->1->5->6->7->11->10->9->13->14->15->16,20,16,Matrix
DFS Recursive,0,4,6,6,4->3->2->1->5->6,22,16,Adjacency List
DFS Recursive,0,6,4,13,6->2->1->5->9->10->14->13->15->11->7->3->4,24,16,Adjacency List
DFS Recursive,0,4,6,6,4->3->2->1->5->6,20,16,Matrix
DFS Recursive,0,6,4,10,6->2->1->5->9->10->11->7->3->4,22,16,Matrix
DFS Recursive,0,2,11,10,2->1->5->6->10->9->13->14->15->11,23,16,Adjacency List
DFS Recursive,0,11,2,4,11->7->3->2,24,16,Adjacency List
DFS Recursive,0,2,11,10,2->1->5->6->7->3->4->8->12->11,22,16,Matrix
DFS Recursive,0,11,2,4,11->7->3->2,25,16,Matrix
DFS Recursive,0,8,8,1,8,0,1,Adjacency List
DFS Recursive,0,8,8,1,8,0,1,Adjacency List
DFS Recursive,0,8,8,1,8,0,1,Matrix
DFS Recursive,0,8,8,1,8,0,1,Matrix
DFS Recursive,0,3,1,3,3->2->1,23,16,Adjacency List
DFS Recursive,0,1,3,12,1->2->6->5->9->10->14->13->15->11->7->3,24,16,Adjacency List
DFS Recursive,0,3,1,3,3->2->1,21,16,Matrix
DFS Recursive,0,1,3,3,1->2->3,21,16,Matrix
DFS Recursive,0,6,8,14,6->2->1->5->9->10->14->13->15->11->7->3->4->8,24,16,Adjacency List
DFS Recursive,0,8,6,7,8->4->3->2->1->5->6,22,16,Adjacency List
DFS Recursive,0,6,8,11,6->2->1->5->9->10->11->7->3->4->8,22,16,Matrix
DFS Recursive,0,8,6,7,8->4->3->2->1->5->6,20,16,Matrix
DFS Recursive,0,1,4,13,1->2->6->5->9->10->14->13->15->11->7->3->4,23,16,Adjacency List
DFS Recursive,0,4,1,4,4->3->2->1,22,16,Adjacency List
DFS Recursive,0,1,4,4,1->2->3->4,19,16,Matrix
DFS Recursive,0,4,1,4,4->3->2->1,20,16,Matrix
DFS Recursive,0,16,3,13,16->15->14->13->9->5->1->2->6->10->11->7->3,24,16,Adjacency List
DFS Recursive,0,3,16,16,3->2->1->5->6->10->9->13->14->15->11->7->8->4->12->16,23,16,Adjacency List
DFS Recursive,0,16,3,5,16->12->8->4->3,22,16,Matrix
DFS Recursive,0,3,16,16,3->2->1->5->6->7->8->4->12->11->10->9->13->14->15->16,19,16,Matrix
DFS Recursive,0,11,11,1,11,0,1,Adjacency List
DFS Recursive,0,11,11,1,11,0,1,Adjacency List
DFS Recursive,0,11,11,1,11,0,1,Matrix
DFS Recursive,0,11,11,1,11,0,1,Matrix
DFS Recursive,0,16,7,12,16->15->14->13->9->5->1->2->6->10->11->7,23,16,Adjacency List
DFS Recursive,0,7,16,16,7->3->2->1->5->6->10->9->13->14->15->11->12->8->4->16,23,16,Adjacency List
DFS Recursive,0,16,7,10,16->12->8->4->3->2->1->5->6->7,22,16,Matrix
DFS Recursive,0,7,16,16,7->3->2->1->5->6->10->9->13->14->15->11->12->8->4->16,23,16,Matrix
DFS Recursive,0,1,2,2,1->2,24,16,Adjacency List
DFS Recursive,0,2,1,2,2->1,24,16,Adjacency List
DFS Recursive,0,1,2,2,1->2,20,16,Matrix
DFS Recursive,0,2,1,2,2->1,18,16,Matrix
DFS Recursive,0,14,13,2,14->13,26,16,Adjacency List
DFS Recursive,0,13,14,8,13->9->5->1->2->6->10->14,26,16,Adjacency List
DFS Recursive,0,14,13,8,14->10->6->2->1->5->9->13,24,16,Matrix
DFS Recursive,0,13,14,16,13->9->5->1->2->3->4->8->7->6->10->11->12->16->15->14,21,16,Matrix
DFS Recursive,0,11,2,4,11->7->3->2,24,16,Adjacency List
DFS Recursive,0,2,11,10,2->1->5->6->10->9->13->14->15->11,23,16,Adjacency List
DFS Recursive,0,11,2,4,11->7->3->2,25,16,Matrix
DFS Recursive,0,2,11,10,2->1->5->6->7->3->4->8->12->11,22,16,Matrix
DFS Recursive,0,5,8,14,5->1->2->6->10->9->13->14->15->11->7->3->4->8,24,16,Adjacency List
DFS Recursive,0,8,5,6,8->4->3->2->1->5,23,16,Adjacency List
DFS Recursive,0,5,8,6,5->1->2->3->4->8,22,16,Matrix
DFS Recursive,0,8,5,6,8->4->3->2->1->5,21,16,Matrix
DFS Recursive,0,13,16,16,13->9->5->1->2->6->10->14->15->11->7->3->4->8->12->16,27,16,Adjacency List
