Type, Number of Nodes, Number of Permutations, Minimum Distance
Genetic,4,3000,21.6784
Genetic,5,3000,25.0523
Genetic,6,3000,31.9727
Genetic,7,3000,38.4789
Genetic,8,3000,45.0978
Genetic,9,3000,44.5165
Genetic,10,3000,52.2624
Genetic,11,3000,51.8552
Genetic,12,3000,60.7729
Genetic,13,3000,61.7845
Genetic,14,3000,64.7007
Genetic,15,3000,73.2065
Genetic,16,3000,70.4317
Genetic,17,3000,86.1412
Genetic,18,3000,83.0604
Genetic,19,3000,83.7985
Genetic,20,3000,93.6907
Genetic,21,3000,113.387
Genetic,22,3000,123.946
Genetic,23,3000,121.514
Genetic,24,3000,132.593
Genetic,25,3000,132.005
Genetic,26,3000,144.149
Genetic,27,3000,143.042
Genetic,28,3000,145.524
Genetic,29,3000,155.322
Genetic,30,3000,157.601
Genetic,31,3000,164.878
Genetic,32,3000,168.807
Genetic,33,3000,172.898
Genetic,34,3000,185.757
Genetic,35,3000,185.829
Genetic,36,3000,188.142
Genetic,37,3000,196.731
Genetic,38,3000,209.196
Genetic,39,3000,203.097
Genetic,40,3000,206.236
Genetic,41,3000,206.796
Genetic,42,3000,214.308
Genetic,43,3000,237.784
Genetic,44,3000,240.134
Genetic,45,3000,252.964
Genetic,46,3000,257.809
Genetic,47,3000,267.619
Genetic,48,3000,245.902
Genetic,49,3000,260.581
Genetic,50,3000,260.873
Genetic,51,3000,276.18
Genetic,52,3000,285.182
Genetic,53,3000,284.984
Genetic,54,3000,286.623
Genetic,55,3000,300.055
Genetic,56,3000,310.734
Genetic,57,3000,300.992
Genetic,58,3000,310.817
Genetic,59,3000,335.017
Genetic,60,3000,337.44
Genetic,61,3000,338.744
Genetic,62,3000,325.958
Genetic,63,3000,327.44
Genetic,64,3000,341.437
Genetic,65,3000,327.778
Genetic,66,3000,342.449
Genetic,67,3000,343.011
Genetic,68,3000,356.809
Genetic,69,3000,364.677
Genetic,70,3000,386.849
Genetic,71,3000,381.217
Genetic,72,3000,403.913
Genetic,73,3000,397.279
Genetic,74,3000,399.464
Genetic,75,3000,419.643
Genetic,76,3000,405.023
Genetic,77,3000,396.367
Genetic,78,3000,393.821
Genetic,79,3000,420.349
Genetic,80,3000,429.315
Genetic,81,3000,420.264
Genetic,82,3000,434.324
Genetic,83,3000,434.787
Genetic,84,3000,434.392
Genetic,85,3000,434.588
Genetic,86,3000,476.248
Genetic,87,3000,460.595
Genetic,88,3000,463.492
Genetic,89,3000,464.988
Genetic,90,3000,455.821
Genetic,91,3000,473.615
Genetic,92,3000,480.269
Genetic,93,3000,495.43
Genetic,94,3000,502.428
Genetic,95,3000,507.071
Genetic,96,3000,506.971
Genetic,97,3000,508.932
Genetic,98,3000,522.54
Genetic,99,3000,516.589
Genetic,100,3000,523.654
Genetic,101,3000,551.266
Genetic,102,3000,550.904
Genetic,103,3000,541.214
Genetic,104,3000,535.581
Genetic,105,3000,559.211
Genetic,106,3000,596.684
Genetic,107,3000,592.176
Genetic,108,3000,567.712
Genetic,109,3000,586.396
Genetic,110,3000,592.972
Genetic,111,3000,590.668
Genetic,112,3000,596.421
Genetic,113,3000,612.401
Genetic,114,3000,608.396
Genetic,115,3000,587.346
Genetic,116,3000,611.176
Genetic,117,3000,629.333
Genetic,118,3000,640.882
Genetic,119,3000,645.08
Genetic,120,3000,630.363
Genetic,121,3000,662.153
Genetic,122,3000,638.647
Genetic,123,3000,649.518
Genetic,124,3000,671.499
Genetic,125,3000,664.337
